OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
621,La Nua Primary Care and Mental Health,,Health Centre,NULL,Ballybane Neighbourhood Village,Castlepark Road,Ballybane,Galway,H91 VE03,-9.00218357053921,53.2827414211487,
622,"Lanesboro Health Centre,",Lanesboro,Health Centre,,Rathcline Road,Lanesborough,Co. Longford,N39 KV21,,-7.9889041367564,53.6716005503922,
623,Larkhill Health Centre,Larkhill,Health Centre,,HSE,Collins Avenue Extension,Dublin 9,D09 VH66,,-6.25022293797664,53.3848136254663,
624,Laurencetown Health Centre,,Health Centre,NULL,Lawrencetown Health Centre,Lawrencetown,Co. Galway,H53 XN73,,-8.18091067440481,53.2361679064188,
625,Laytown Health Centre,Laytown/Stamullen,Health Centre,,Laytown,Co. Meath,A92 VA03,,,-6.24020808440471,53.6809975991853,
626,Leap Health Centre,Leap,Health Centre,,Main Street,Leap,Co. Cork,P81 PY09,,-9.14043982998065,51.5813051086976,
627,Leenane Health Centre,Leenane,Health Centre,,Derraheeda,Leenane,Co. Galway,H91 R8E8,,-9.69179585544054,53.5946895826992,
628,Legga,Legga,Health Centre,,Legga,Co. Longford.,,,,-7.65687074676685,53.8930580178067,
629,Leighlinbridge Health Centre,Leighlinbridge,Health Centre,,Pump Lane,Leighlinbridge,Co. Carlow,R93 D5F2,,-6.98032111863517,52.7359382917248,
630,"Leixlip Health Centre, ",Leixlip,Health Centre,,Main Street,Leixlip,Co. Kildare,W23 YH29,,-6.48983602558533,53.3636283306218,
631,Lemybrien,Lemybrien,Health Centre,,Lemybrien,Co. Waterford.,,,,-7.52354087978461,52.1726506931911,
632,Letterkenny Town Centre PCCC,Letterkenny,Health Centre,,Pearse Road,Letterkenny,Co. Donegal,F92 F7X8,,-7.73549967991799,54.9473821315441,
633,Lifford Primary Care Centre,,Health Centre,NULL,Lifford Bridge,Lifford,Co. Donegal,F93 YW02,,-7.48337540051286,54.8312848051203,
