record_id,constituency,local_authority,register_reference,address_or_description,description,eircode,latitude,longitude,site_count,location_category,location_source,location_precision,source_x,source_y,source_coordinate_system,source_geometry_type,date_entered,valuation,source_url,source_date,retrieved_date,source_format,acquisition_method,extraction_quality
IE-DS-5bdd6c315161ca,Limerick County,Limerick City and County Council,DS-061-20,"14 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5180815,-8.9288872,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536957,641151,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-81a0c13012a021,Limerick County,Limerick City and County Council,DS-062-20,"15 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5178677,-8.9286322,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536974,641127,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-8c1e5ea581c62e,Limerick County,Limerick City and County Council,DS-063-20,"16 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.517716,-8.9284964,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536983,641110,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-cb1a99bd69ef69,Limerick County,Limerick City and County Council,DS-064-20,"17 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5176182,-8.9283617,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536992,641099,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-cfafea93931acc,Limerick County,Limerick City and County Council,DS-065-20,"18 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5174844,-8.9282263,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,537001,641084,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-a17e003eedcf26,Limerick County,Limerick City and County Council,DS-066-20,"19 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5173775,-8.9281062,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,537009,641072,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-8ee776d200c126,Limerick County,Limerick City and County Council,DS-067-20,"20 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5171283,-8.9277915,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,537030,641044,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-cbbf34569f9e55,Limerick County,Limerick City and County Council,DS-068-20,"21 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5170903,-8.9280559,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,537012,641040,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-e56de4d2f99489,Limerick County,Limerick City and County Council,DS-069-20,"22 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5170163,-8.9283196,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536994,641032,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-0e4a192d7b318d,Limerick County,Limerick City and County Council,DS-070-20,"23 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5169508,-8.9286423,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536972,641025,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-dfa9ae3f54f9f8,Limerick County,Limerick City and County Council,DS-071-20,"24 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5168952,-8.9288622,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536957,641019,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-0d170e16b6a1f3,Limerick County,Limerick City and County Council,DS-072-20,"25 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5169824,-8.9292029,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536934,641029,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-5ff64f659f0fb4,Limerick County,Limerick City and County Council,DS-073-20,"26 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5171164,-8.9293089,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536927,641044,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-fa9b1405a1c291,Limerick County,Limerick City and County Council,DS-074-20,"27 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5172685,-8.9294005,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536921,641061,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-a2518f21e031b0,Limerick County,Limerick City and County Council,DS-075-20,"28 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5174025,-8.9295064,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536914,641076,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
