incident_id,date,year,time_band,longitude,latitude,constituency,constituency_slug,electoral_district,electoral_district_guid,incident_type,incident_count,fatality_count,serious_injury_count,non_serious_injury_count,casualty_count,cyclist_count,driver_count,e_scooter_other_count,motorcyclist_count,passenger_count,pedestrian_count
10941,2017-11-01,2017,4pm-7.59pm,-7.335401666,53.124135,Laois,laois,Graigue,2ae19629-16d9-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10942,2017-11-01,2017,12pm-3.59pm,-9.227315,53.252918333,Galway West,galway-west,Furbogh,2ae19629-2338-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10943,2017-11-01,2017,4pm-7.59pm,-6.607468333,53.243658333,Kildare North,kildare-north,Kill,2ae19629-2214-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,1,0
10944,2017-11-01,2017,12pm-3.59pm,-6.225625,53.262683333,Dublin Rathdown,dublin-rathdown,Glencullen,2ae19629-1d7e-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,1,0,0,1,0
10945,2017-11-01,2017,4pm-7.59pm,-6.375241666,53.2838,Dublin South-West,dublin-south-west,Tallaght-Oldbawn,2ae19629-1cce-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10947,2017-11-01,2017,8pm-11.59pm,-8.466436666,52.358431666,Limerick County,limerick-county,Kilfinnane,2ae19629-179f-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,2,0,0,0,0
10948,2017-11-01,2017,8pm-11.59pm,-7.333165,53.123873333,Laois,laois,Mountmellick Urban,2ae19629-16ee-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10949,2017-11-01,2017,4am-7.59am,-6.293913333,53.384115,Dublin North-West,dublin-north-west,Ballygall A,2ae19629-1d08-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10950,2017-11-01,2017,4pm-7.59pm,-6.604646666,53.244658333,Kildare North,kildare-north,Kill,2ae19629-2214-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10951,2017-11-01,2017,8am-11.59am,-7.062266666,53.336035,Offaly,offaly,Edenderry Urban,2ae19629-1a90-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10952,2017-11-01,2017,4am-7.59am,-6.250621666,53.350031666,Dublin Central,dublin-central,North Dock C,2ae19629-1db5-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10953,2017-11-01,2017,8am-11.59am,-6.910398333,52.83268,Carlow-Kilkenny,carlow-kilkenny,Carlow Rural,2ae19629-1857-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10954,2017-11-01,2017,12pm-3.59pm,-6.327411666,53.662161666,Meath East,meath-east,Julianstown,2ae19629-18bd-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10955,2017-06-01,2017,8pm-11.59pm,-8.276483333,54.479685,Sligo-Leitrim,sligo-leitrim,Bundoran Urban,2ae19629-2107-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,0,0,0,2,0
10956,2017-10-01,2017,4pm-7.59pm,-6.294853333,53.395235,Dublin North-West,dublin-north-west,Finglas North C,2ae19629-1d6c-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10957,2017-11-01,2017,8am-11.59am,-6.349983333,53.71828,Louth,louth,Fair Gate,2ae19629-18c8-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10958,2017-11-01,2017,8am-11.59am,-6.375615,53.486426666,Meath East,meath-east,Donaghmore,2ae19629-186e-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10959,2017-11-01,2017,12pm-3.59pm,-6.210015,53.400071666,Dublin Bay North,dublin-bay-north,Priorswood E,2ae19629-1dce-13a3-e055-000000000001,Serious,1,0,1,0,1,0,0,0,0,0,1
